17883|2024/07/31|10:44:50|CSD(DSP)|1A |SYSINFO |TL  Network building(0,1,0)                                                   
18122|2024/08/07|10:05:31|CSD(DSP)|1A |SYSINFO |Same event occurred 2 times                                                   
18123|2024/08/07|10:05:32|CSD(DSP)|1A |SYSINFO |TL  Network building(0,1,0)                                                   
18124|2024/08/07|10:05:32|CSD(DSP)|1A |SYSINFO |WordClock Lock                                                                
18125|2024/08/07|10:05:33|CSD(I/O)|L1 |SYSINFO |Power State : A-[On]                                                          
18126|2024/08/07|10:05:33|CSD(I/O)|L1 |SYSINFO |Power State : B-[On]                                                          
18127|2024/08/07|10:05:33|CSD(I/O)|L1 |SYSINFO |Cooling Fan State : [Fine]                                                    
03391|2024/08/07|10:05:38|CSD(CS) |1  |SYSINFO |DSP connected                                                                 
03392|2024/08/07|10:05:38|CSD(CS) |1  |SYSINFO |Synchronization from DSP 1 (or 1A) has started                                
03393|2024/08/07|10:05:41|CSD(CS) |1  |SYSINFO |Automatic Synchronization from CS1 I/O has started                            
03394|2024/08/07|10:05:41|CSD(CS) |1  |SYSINFO |I/O Unit [CS1] connected                                                      
18128|2024/08/07|10:05:40|RPio    |M1 |SYSINFO |Power State : A-[On]                                                          
18129|2024/08/07|10:05:40|RPio    |M1 |SYSINFO |Power State : B-[On]                                                          
18130|2024/08/07|10:05:40|RPio    |M1 |SYSINFO |Cooling Fan State : [Fine]                                                    
03395|2024/08/07|10:05:44|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization from CS1 I/O has finished                   
03396|2024/08/07|10:05:50|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization from DSP 1 (or 1A) has finished             
18131|2024/08/07|10:05:50|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/07 10:05:54 to 2024/08/07 10:05:50.                 
03397|2024/08/07|10:05:59|CSD(CS) |1  |SYSINFO |I/O Unit [M1] connected                                                       
03398|2024/08/07|10:06:03|CSD(CS) |1  |CAUTION |DEVICE NOT SYNCED!                                                            
03399|2024/08/07|10:06:03|CSD(CS) |1  |SYSINFO |Synchronization from RPio M1 has started                                      
03400|2024/08/07|10:06:05|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization from RPio M1 has finished                   
03401|2024/08/07|10:10:34|CSD(CS) |1  |SYSINFO |Started loading file [ROGERS DFLT 0724.RIVAGEPM]                              
03402|2024/08/07|10:10:52|CSD(CS) |1  |SYSINFO |Finished loading file                                                         
03403|2024/08/07|10:10:54|CSD(CS) |1  |SYSINFO |Synchronization by File Load to DSP 1 (or 1A) has started                     
03404|2024/08/07|10:10:54|CSD(CS) |1  |SYSINFO |DSP connected                                                                 
03405|2024/08/07|10:10:58|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization to DSP 1 (or 1A) has finished               
03406|2024/08/07|10:10:58|CSD(CS) |1  |SYSINFO |Synchronization by File Load to RPio M1 has started                           
03407|2024/08/07|10:10:58|CSD(CS) |1  |SYSINFO |Synchronization by File Load to CS1 I/O has started                           
03408|2024/08/07|10:10:58|CSD(CS) |1  |SYSINFO |I/O Unit [M1] connected                                                       
03409|2024/08/07|10:10:58|CSD(CS) |1  |SYSINFO |I/O Unit [CS1] connected                                                      
18132|2024/08/07|10:10:58|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/07 10:10:57 to 2024/08/07 10:10:58.                 
03410|2024/08/07|10:11:00|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization to RPio M1 has finished                     
03411|2024/08/07|10:11:00|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization to CS1 I/O has finished                     
03412|2024/08/07|16:32:05|CSD(CS) |1  |SYSINFO |CSD-R7 V6.60 Program Start  (Unit Mode: Default)                              
18133|2024/08/07|16:32:17|CSD(DSP)|1A |SYSINFO |CSD-R7 V6.60 Program Start  (Unit Mode: Default)                              
03413|2024/08/07|16:32:18|CSD(CS) |1  |SYSINFO |Power State CS A : [Fine]                                                     
03414|2024/08/07|16:32:18|CSD(CS) |1  |SYSINFO |Power State CS B : [Fine]                                                     
03415|2024/08/07|16:32:18|CSD(CS) |1  |SYSINFO |Cooling Fan State : [Fine]                                                    
18134|2024/08/07|16:32:18|CSD(DSP)|1A |SYSINFO |Power State : A-[On], B-[On]                                                  
18135|2024/08/07|16:32:18|CSD(DSP)|1A |SYSINFO |Cooling Fan State : [Fine]                                                    
18136|2024/08/07|16:32:18|CSD(DSP)|1A |SYSINFO |Battery Fine                                                                  
18137|2024/08/07|16:32:19|CSD(DSP)|1A |SYSINFO |CN  Network building(1,1,0)                                                   
18138|2024/08/07|16:32:24|CSD(DSP)|1A |SYSINFO |Same event occurred 2 times                                                   
18139|2024/08/07|16:32:24|CSD(DSP)|1A |SYSINFO |TL  Network building(0,1,0)                                                   
18140|2024/08/07|16:32:25|CSD(DSP)|1A |SYSINFO |WordClock Lock                                                                
18141|2024/08/07|16:32:26|CSD(I/O)|L1 |SYSINFO |Power State : A-[On]                                                          
18142|2024/08/07|16:32:26|CSD(I/O)|L1 |SYSINFO |Power State : B-[On]                                                          
18143|2024/08/07|16:32:26|CSD(I/O)|L1 |SYSINFO |Cooling Fan State : [Fine]                                                    
18144|2024/08/07|16:32:31|RPio    |M1 |SYSINFO |Power State : A-[On]                                                          
18145|2024/08/07|16:32:31|RPio    |M1 |SYSINFO |Power State : B-[On]                                                          
18146|2024/08/07|16:32:31|RPio    |M1 |SYSINFO |Cooling Fan State : [Fine]                                                    
03416|2024/08/07|16:32:33|CSD(CS) |1  |SYSINFO |Automatic Synchronization from DSP 1 (or 1A) has started                      
03417|2024/08/07|16:32:33|CSD(CS) |1  |SYSINFO |DSP connected                                                                 
03418|2024/08/07|16:32:38|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization from DSP 1 (or 1A) has finished             
18147|2024/08/07|16:32:38|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/07 16:32:38 to 2024/08/07 16:32:38.                 
03419|2024/08/07|16:32:41|CSD(CS) |1  |SYSINFO |Automatic Synchronization from CS1 I/O has started                            
03420|2024/08/07|16:32:41|CSD(CS) |1  |SYSINFO |I/O Unit [CS1] connected                                                      
03421|2024/08/07|16:32:43|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization from CS1 I/O has finished                   
03422|2024/08/07|16:32:55|CSD(CS) |1  |SYSINFO |I/O Unit [M1] connected                                                       
03423|2024/08/07|16:33:24|CSD(CS) |1  |CAUTION |DEVICE NOT SYNCED!                                                            
03424|2024/08/07|16:34:24|CSD(CS) |1  |CAUTION |Same event occurred 4 times                                                   
03425|2024/08/07|16:34:30|CSD(CS) |1  |SYSINFO |Synchronization from RPio M1 has started                                      
03426|2024/08/07|16:34:32|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization from RPio M1 has finished                   
03427|2024/08/07|16:47:04|CSD(CS) |1  |SYSINFO |Scene 1.00 updated                                                            
03428|2024/08/07|16:47:29|CSD(CS) |1  |SYSINFO |Started saving file [BS 081124 SUN.RIVAGEPM]                                  
03429|2024/08/07|16:47:34|CSD(CS) |1  |SYSINFO |Finished saving file                                                          
03430|2024/08/07|17:33:25|CSD(CS) |1  |SYSINFO |Started saving file [BS 081124 SUN.RIVAGEPM]                                  
03431|2024/08/07|17:33:30|CSD(CS) |1  |SYSINFO |Finished saving file                                                          
03432|2024/08/08|09:37:08|CSD(CS) |1  |SYSINFO |CSD-R7 V6.60 Program Start  (Unit Mode: Default)                              
03433|2024/08/08|09:37:21|CSD(CS) |1  |SYSINFO |Power State CS A : [Fine]                                                     
03434|2024/08/08|09:37:21|CSD(CS) |1  |SYSINFO |Power State CS B : [Fine]                                                     
03435|2024/08/08|09:37:21|CSD(CS) |1  |SYSINFO |Cooling Fan State : [Fine]                                                    
18148|2024/08/08|09:37:21|CSD(DSP)|1A |SYSINFO |CSD-R7 V6.60 Program Start  (Unit Mode: Default)                              
18149|2024/08/08|09:37:22|CSD(DSP)|1A |SYSINFO |Power State : A-[On], B-[On]                                                  
18150|2024/08/08|09:37:23|CSD(DSP)|1A |SYSINFO |Cooling Fan State : [Fine]                                                    
18151|2024/08/08|09:37:23|CSD(DSP)|1A |SYSINFO |Battery Fine                                                                  
18152|2024/08/08|09:37:23|CSD(DSP)|1A |SYSINFO |CN  Network building(1,1,0)                                                   
18153|2024/08/08|09:37:27|CSD(DSP)|1A |SYSINFO |Same event occurred 2 times                                                   
18154|2024/08/08|09:37:28|CSD(DSP)|1A |SYSINFO |TL  Network building(0,1,0)                                                   
18155|2024/08/08|09:37:29|CSD(DSP)|1A |SYSINFO |WordClock Lock                                                                
18156|2024/08/08|09:37:30|CSD(I/O)|L1 |SYSINFO |Power State : A-[On]                                                          
18157|2024/08/08|09:37:30|CSD(I/O)|L1 |SYSINFO |Power State : B-[On]                                                          
18158|2024/08/08|09:37:30|CSD(I/O)|L1 |SYSINFO |Cooling Fan State : [Fine]                                                    
03436|2024/08/08|09:37:34|CSD(CS) |1  |SYSINFO |DSP connected                                                                 
03437|2024/08/08|09:37:34|CSD(CS) |1  |SYSINFO |Synchronization from DSP 1 (or 1A) has started                                
18159|2024/08/08|09:37:36|RPio    |M1 |SYSINFO |Power State : A-[On]                                                          
18160|2024/08/08|09:37:36|RPio    |M1 |SYSINFO |Power State : B-[On]                                                          
18161|2024/08/08|09:37:36|RPio    |M1 |SYSINFO |Cooling Fan State : [Fine]                                                    
03438|2024/08/08|09:37:46|CSD(CS) |1  |SYSINFO |Automatic Synchronization from CS1 I/O has started                            
03439|2024/08/08|09:37:46|CSD(CS) |1  |SYSINFO |I/O Unit [CS1] connected                                                      
03440|2024/08/08|09:37:46|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization from DSP 1 (or 1A) has finished             
03441|2024/08/08|09:37:46|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization from CS1 I/O has finished                   
18162|2024/08/08|09:37:46|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/08 09:37:50 to 2024/08/08 09:37:46.                 
03442|2024/08/08|09:37:57|CSD(CS) |1  |SYSINFO |Automatic Synchronization from RPio M1 has started                            
03443|2024/08/08|09:37:57|CSD(CS) |1  |SYSINFO |I/O Unit [M1] connected                                                       
03444|2024/08/08|09:37:59|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization from RPio M1 has finished                   
03445|2024/08/08|09:38:41|CSD(CS) |1  |SYSINFO |Started loading file [BS 080924 CR.RIVAGEPM]                                  
03446|2024/08/08|09:38:58|CSD(CS) |1  |SYSINFO |Finished loading file                                                         
03447|2024/08/08|09:39:00|CSD(CS) |1  |SYSINFO |Synchronization by File Load to DSP 1 (or 1A) has started                     
03448|2024/08/08|09:39:00|CSD(CS) |1  |SYSINFO |DSP connected                                                                 
03449|2024/08/08|09:39:03|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization to DSP 1 (or 1A) has finished               
03450|2024/08/08|09:39:03|CSD(CS) |1  |SYSINFO |Synchronization by File Load to RPio M1 has started                           
03451|2024/08/08|09:39:03|CSD(CS) |1  |SYSINFO |Synchronization by File Load to CS1 I/O has started                           
03452|2024/08/08|09:39:03|CSD(CS) |1  |SYSINFO |I/O Unit [M1] connected                                                       
03453|2024/08/08|09:39:03|CSD(CS) |1  |SYSINFO |I/O Unit [CS1] connected                                                      
18163|2024/08/08|09:39:03|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/08 09:39:03 to 2024/08/08 09:39:03.                 
03454|2024/08/08|09:39:06|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization to RPio M1 has finished                     
03455|2024/08/08|09:39:06|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization to CS1 I/O has finished                     
03456|2024/08/08|09:52:47|CSD(CS) |1  |SYSINFO |CSD-R7 V6.60 Program Start  (Unit Mode: Default)                              
03457|2024/08/08|09:53:02|CSD(CS) |1  |SYSINFO |Power State CS A : [Fine]                                                     
03458|2024/08/08|09:53:02|CSD(CS) |1  |SYSINFO |Power State CS B : [Fine]                                                     
03459|2024/08/08|09:53:02|CSD(CS) |1  |SYSINFO |Cooling Fan State : [Fine]                                                    
03460|2024/08/08|09:53:04|CSD(CS) |1  |SYSINFO |Automatic Synchronization from RPio M1 has started                            
03461|2024/08/08|09:53:04|CSD(CS) |1  |SYSINFO |Automatic Synchronization from CS1 I/O has started                            
03462|2024/08/08|09:53:05|CSD(CS) |1  |SYSINFO |Synchronization from DSP 1 (or 1A) has started                                
03463|2024/08/08|09:53:06|CSD(CS) |1  |SYSINFO |DSP connected                                                                 
03464|2024/08/08|09:53:06|CSD(CS) |1  |SYSINFO |I/O Unit [M1] connected                                                       
03465|2024/08/08|09:53:06|CSD(CS) |1  |SYSINFO |I/O Unit [CS1] connected                                                      
03466|2024/08/08|09:53:06|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization from RPio M1 has finished                   
03467|2024/08/08|09:53:06|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization from CS1 I/O has finished                   
03468|2024/08/08|09:53:07|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization from DSP 1 (or 1A) has finished             
18164|2024/08/08|09:53:07|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/08 09:53:06 to 2024/08/08 09:53:07.                 
03469|2024/08/08|09:53:53|CSD(CS) |1  |SYSINFO |Scene 1.00 updated                                                            
03470|2024/08/08|09:54:24|CSD(CS) |1  |SYSINFO |Started saving file [BS 080924 CR.RIVAGEPM]                                   
03471|2024/08/08|09:54:29|CSD(CS) |1  |SYSINFO |Finished saving file                                                          
03472|2024/08/08|14:35:15|CSD(CS) |1  |SYSINFO |Started loading file [BS 081124 SUN.RIVAGEPM]                                 
03473|2024/08/08|14:35:33|CSD(CS) |1  |SYSINFO |Finished loading file                                                         
03474|2024/08/08|14:35:35|CSD(CS) |1  |SYSINFO |Synchronization by File Load to DSP 1 (or 1A) has started                     
03475|2024/08/08|14:35:35|CSD(CS) |1  |SYSINFO |DSP connected                                                                 
03476|2024/08/08|14:35:39|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization to DSP 1 (or 1A) has finished               
03477|2024/08/08|14:35:39|CSD(CS) |1  |SYSINFO |Synchronization by File Load to RPio M1 has started                           
03478|2024/08/08|14:35:39|CSD(CS) |1  |SYSINFO |Synchronization by File Load to CS1 I/O has started                           
03479|2024/08/08|14:35:39|CSD(CS) |1  |SYSINFO |I/O Unit [M1] connected                                                       
03480|2024/08/08|14:35:39|CSD(CS) |1  |SYSINFO |I/O Unit [CS1] connected                                                      
18165|2024/08/08|14:35:39|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/08 14:35:38 to 2024/08/08 14:35:39.                 
03481|2024/08/08|14:35:41|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization to RPio M1 has finished                     
03482|2024/08/08|14:35:41|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization to CS1 I/O has finished                     
03483|2024/08/08|15:53:59|CSD(CS) |1  |SYSINFO |Started saving file [BS 081124 SUN.RIVAGEPM]                                  
03484|2024/08/08|15:54:05|CSD(CS) |1  |SYSINFO |Finished saving file                                                          
03485|2024/08/08|18:47:52|CSD(CS) |1  |SYSINFO |EQ parameters copied                                                          
03486|2024/08/08|18:47:55|CSD(CS) |1  |SYSINFO |EQ parameters pasted                                                          
03487|2024/08/08|18:48:05|CSD(CS) |1  |SYSINFO |Scene 1.00 updated                                                            
03488|2024/08/08|19:08:54|CSD(CS) |1  |SYSINFO |EQ parameters pasted                                                          
03489|2024/08/08|19:56:48|CSD(CS) |1  |SYSINFO |Scene 1.00 updated                                                            
03490|2024/08/08|19:57:01|CSD(CS) |1  |SYSINFO |CSD-R7 V6.60 Program End                                                      
03491|2024/08/09|10:55:35|CSD(CS) |1  |SYSINFO |CSD-R7 V6.60 Program Start  (Unit Mode: Default)                              
03492|2024/08/09|10:55:50|CSD(CS) |1  |SYSINFO |Power State CS A : [Fine]                                                     
03493|2024/08/09|10:55:50|CSD(CS) |1  |SYSINFO |Power State CS B : [Fine]                                                     
03494|2024/08/09|10:55:50|CSD(CS) |1  |SYSINFO |Cooling Fan State : [Fine]                                                    
18166|2024/08/09|10:55:52|CSD(DSP)|1A |SYSINFO |CSD-R7 V6.60 Program Start  (Unit Mode: Default)                              
18167|2024/08/09|10:55:54|CSD(DSP)|1A |SYSINFO |Power State : A-[On], B-[On]                                                  
18168|2024/08/09|10:55:54|CSD(DSP)|1A |SYSINFO |Cooling Fan State : [Fine]                                                    
18169|2024/08/09|10:55:54|CSD(DSP)|1A |SYSINFO |Battery Fine                                                                  
18170|2024/08/09|10:55:55|CSD(DSP)|1A |SYSINFO |CN  Network building(1,1,0)                                                   
18171|2024/08/09|10:55:59|CSD(DSP)|1A |SYSINFO |Same event occurred 2 times                                                   
18172|2024/08/09|10:55:59|CSD(DSP)|1A |SYSINFO |TL  Network building(0,1,0)                                                   
18173|2024/08/09|10:56:00|CSD(DSP)|1A |SYSINFO |WordClock Lock                                                                
18174|2024/08/09|10:56:02|CSD(I/O)|L1 |SYSINFO |Power State : A-[On]                                                          
18175|2024/08/09|10:56:02|CSD(I/O)|L1 |SYSINFO |Power State : B-[On]                                                          
18176|2024/08/09|10:56:02|CSD(I/O)|L1 |SYSINFO |Cooling Fan State : [Fine]                                                    
18177|2024/08/09|10:56:07|RPio    |M1 |SYSINFO |Power State : A-[On]                                                          
18178|2024/08/09|10:56:07|RPio    |M1 |SYSINFO |Power State : B-[On]                                                          
18179|2024/08/09|10:56:07|RPio    |M1 |SYSINFO |Cooling Fan State : [Fine]                                                    
03495|2024/08/09|10:56:11|CSD(CS) |1  |SYSINFO |Automatic Synchronization from CS1 I/O has started                            
03496|2024/08/09|10:56:11|CSD(CS) |1  |SYSINFO |DSP connected                                                                 
03497|2024/08/09|10:56:11|CSD(CS) |1  |SYSINFO |I/O Unit [CS1] connected                                                      
03498|2024/08/09|10:56:11|CSD(CS) |1  |SYSINFO |Synchronization from DSP 1 (or 1A) has started                                
03499|2024/08/09|10:56:12|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization from CS1 I/O has finished                   
03500|2024/08/09|10:56:17|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization from DSP 1 (or 1A) has finished             
18180|2024/08/09|10:56:17|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/09 10:56:21 to 2024/08/09 10:56:17.                 
03501|2024/08/09|10:56:26|CSD(CS) |1  |SYSINFO |Started loading file [BS 080924 CR.RIVAGEPM]                                  
03502|2024/08/09|10:56:27|CSD(CS) |1  |SYSINFO |I/O Unit [M1] connected                                                       
03503|2024/08/09|10:56:39|CSD(CS) |1  |SYSINFO |Finished loading file                                                         
03504|2024/08/09|10:56:40|CSD(CS) |1  |SYSINFO |Synchronization by File Load to DSP 1 (or 1A) has started                     
03505|2024/08/09|10:56:40|CSD(CS) |1  |SYSINFO |DSP connected                                                                 
03506|2024/08/09|10:56:41|CSD(CS) |1  |SYSINFO |I/O Unit [M1] connected                                                       
03507|2024/08/09|10:56:44|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization to DSP 1 (or 1A) has finished               
03508|2024/08/09|10:56:44|CSD(CS) |1  |SYSINFO |Synchronization by File Load to CS1 I/O has started                           
03509|2024/08/09|10:56:44|CSD(CS) |1  |SYSINFO |I/O Unit [CS1] connected                                                      
18181|2024/08/09|10:56:44|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/09 10:56:44 to 2024/08/09 10:56:44.                 
03510|2024/08/09|10:56:46|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization to CS1 I/O has finished                     
03511|2024/08/09|10:56:49|CSD(CS) |1  |CAUTION |DEVICE NOT SYNCED!                                                            
03512|2024/08/09|11:33:12|CSD(CS) |1  |CAUTION |Same event occurred 110 times                                                 
03513|2024/08/09|11:33:23|CSD(CS) |1  |SYSINFO |Synchronization to RPio M1 has started                                        
03514|2024/08/09|11:33:25|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization to RPio M1 has finished                     
03515|2024/08/09|11:34:26|CSD(CS) |1  |SYSINFO |EQ parameters copied                                                          
03516|2024/08/09|11:34:43|CSD(CS) |1  |SYSINFO |EQ parameters pasted                                                          
03517|2024/08/09|11:47:56|CSD(CS) |1  |SYSINFO |EQ parameters copied                                                          
03518|2024/08/09|11:47:59|CSD(CS) |1  |SYSINFO |EQ parameters pasted                                                          
03519|2024/08/09|11:48:02|CSD(CS) |1  |SYSINFO |Same event occurred 3 times                                                   
03520|2024/08/09|12:01:28|CSD(CS) |1  |CAUTION |Unassigned encoder                                                            
03521|2024/08/09|12:04:56|CSD(CS) |1  |SYSINFO |EQ parameters pasted                                                          
03522|2024/08/09|12:05:23|CSD(CS) |1  |SYSINFO |Same event occurred 2 times                                                   
03523|2024/08/09|12:20:39|CSD(CS) |1  |CAUTION |Unassigned encoder                                                            
03524|2024/08/09|12:20:42|CSD(CS) |1  |CAUTION |Same event occurred 3 times                                                   
03525|2024/08/09|12:28:50|CSD(CS) |1  |SYSINFO |Scene 1.00 updated                                                            
03526|2024/08/09|12:50:43|CSD(CS) |1  |SYSINFO |Same event occurred 2 times                                                   
03527|2024/08/09|18:07:04|CSD(CS) |1  |SYSINFO |EQ parameters copied                                                          
03528|2024/08/09|18:07:05|CSD(CS) |1  |SYSINFO |Same event occurred 3 times                                                   
03529|2024/08/09|18:07:09|CSD(CS) |1  |SYSINFO |EQ parameters pasted                                                          
03530|2024/08/09|18:07:13|CSD(CS) |1  |SYSINFO |Same event occurred 2 times                                                   
03531|2024/08/09|20:48:55|CSD(CS) |1  |SYSINFO |Scene 1.00 updated                                                            
03532|2024/08/09|20:56:46|CSD(CS) |1  |SYSINFO |CSD-R7 V6.60 Program End                                                      
18182|2024/08/09|20:57:08|CSD(DSP)|1A |WARNING |WordClock UnLock                                                              
03533|2024/08/10|13:35:55|CSD(CS) |1  |SYSINFO |CSD-R7 V6.60 Program Start  (Unit Mode: Default)                              
03534|2024/08/10|13:36:10|CSD(CS) |1  |SYSINFO |Power State CS A : [Fine]                                                     
03535|2024/08/10|13:36:10|CSD(CS) |1  |SYSINFO |Power State CS B : [Fine]                                                     
03536|2024/08/10|13:36:10|CSD(CS) |1  |SYSINFO |Cooling Fan State : [Fine]                                                    
18183|2024/08/10|13:36:13|CSD(DSP)|1A |SYSINFO |CSD-R7 V6.60 Program Start  (Unit Mode: Default)                              
18184|2024/08/10|13:36:15|CSD(DSP)|1A |SYSINFO |Power State : A-[On], B-[On]                                                  
18185|2024/08/10|13:36:15|CSD(DSP)|1A |SYSINFO |Cooling Fan State : [Fine]                                                    
18186|2024/08/10|13:36:15|CSD(DSP)|1A |SYSINFO |Battery Fine                                                                  
18187|2024/08/10|13:36:16|CSD(DSP)|1A |SYSINFO |CN  Network building(1,1,0)                                                   
18188|2024/08/10|13:36:20|CSD(DSP)|1A |SYSINFO |Same event occurred 2 times                                                   
18189|2024/08/10|13:36:20|CSD(DSP)|1A |SYSINFO |TL  Network building(0,1,0)                                                   
18190|2024/08/10|13:36:21|CSD(DSP)|1A |SYSINFO |WordClock Lock                                                                
18191|2024/08/10|13:36:23|CSD(I/O)|L1 |SYSINFO |Power State : A-[On]                                                          
18192|2024/08/10|13:36:23|CSD(I/O)|L1 |SYSINFO |Power State : B-[On]                                                          
18193|2024/08/10|13:36:23|CSD(I/O)|L1 |SYSINFO |Cooling Fan State : [Fine]                                                    
03537|2024/08/10|13:36:24|CSD(CS) |1  |SYSINFO |Automatic Synchronization from DSP 1 (or 1A) has started                      
03538|2024/08/10|13:36:24|CSD(CS) |1  |SYSINFO |DSP connected                                                                 
03539|2024/08/10|13:36:27|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization from DSP 1 (or 1A) has finished             
18194|2024/08/10|13:36:28|RPio    |M1 |SYSINFO |Power State : A-[On]                                                          
18195|2024/08/10|13:36:28|RPio    |M1 |SYSINFO |Power State : B-[On]                                                          
18196|2024/08/10|13:36:28|RPio    |M1 |SYSINFO |Cooling Fan State : [Fine]                                                    
18197|2024/08/10|13:36:28|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/10 13:36:33 to 2024/08/10 13:36:28.                 
03540|2024/08/10|13:36:33|CSD(CS) |1  |SYSINFO |Automatic Synchronization from CS1 I/O has started                            
03541|2024/08/10|13:36:33|CSD(CS) |1  |SYSINFO |I/O Unit [CS1] connected                                                      
03542|2024/08/10|13:36:34|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization from CS1 I/O has finished                   
03543|2024/08/10|13:36:45|CSD(CS) |1  |SYSINFO |Automatic Synchronization from RPio M1 has started                            
03544|2024/08/10|13:36:45|CSD(CS) |1  |SYSINFO |I/O Unit [M1] connected                                                       
03545|2024/08/10|13:36:47|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization from RPio M1 has finished                   
03546|2024/08/10|14:24:27|CSD(CS) |1  |SYSINFO |Started loading file [X 081024 SAT.RIVAGEPM]                                  
03547|2024/08/10|14:24:46|CSD(CS) |1  |SYSINFO |Finished loading file                                                         
03548|2024/08/10|14:24:47|CSD(CS) |1  |SYSINFO |Synchronization by File Load to DSP 1 (or 1A) has started                     
03549|2024/08/10|14:24:47|CSD(CS) |1  |SYSINFO |DSP connected                                                                 
03550|2024/08/10|14:24:51|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization to DSP 1 (or 1A) has finished               
03551|2024/08/10|14:24:51|CSD(CS) |1  |SYSINFO |Synchronization by File Load to RPio M1 has started                           
03552|2024/08/10|14:24:51|CSD(CS) |1  |SYSINFO |Synchronization by File Load to CS1 I/O has started                           
03553|2024/08/10|14:24:51|CSD(CS) |1  |SYSINFO |I/O Unit [M1] connected                                                       
03554|2024/08/10|14:24:51|CSD(CS) |1  |SYSINFO |I/O Unit [CS1] connected                                                      
18198|2024/08/10|14:24:51|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/10 14:24:52 to 2024/08/10 14:24:51.                 
03555|2024/08/10|14:24:53|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization to RPio M1 has finished                     
03556|2024/08/10|14:24:53|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization to CS1 I/O has finished                     
03557|2024/08/10|15:26:19|CSD(CS) |1  |CAUTION |Unassigned encoder                                                            
03558|2024/08/10|17:36:35|CSD(CS) |1  |CAUTION |Same event occurred 8 times                                                   
03559|2024/08/10|20:09:26|CSD(CS) |1  |SYSINFO |Scene 1.00 updated                                                            
03560|2024/08/10|20:09:36|CSD(CS) |1  |SYSINFO |Started saving file [X 081024 SAT.RIVAGEPM]                                   
03561|2024/08/10|20:09:41|CSD(CS) |1  |SYSINFO |Finished saving file                                                          
03562|2024/08/10|20:21:08|CSD(CS) |1  |SYSINFO |Started loading file [BS 081124 SUN.RIVAGEPM]                                 
03563|2024/08/10|20:21:25|CSD(CS) |1  |SYSINFO |Finished loading file                                                         
03564|2024/08/10|20:21:25|CSD(CS) |1  |SYSINFO |Synchronization by File Load to DSP 1 (or 1A) has started                     
03565|2024/08/10|20:21:26|CSD(CS) |1  |SYSINFO |DSP connected                                                                 
18199|2024/08/10|20:21:29|CSD(DSP)|1A |SYSINFO |Date/Time updated 2024/08/10 20:21:28 to 2024/08/10 20:21:29.                 
03566|2024/08/10|20:21:30|CSD(CS) |1  |SYSINFO |Current Parameter Synchronization to DSP 1 (or 1A) has finished               
03567|2024/08/10|20:21:30|CSD(CS) |1  |SYSINFO |Synchronization by File Load to RPio M1 has started                           
03568|2024/08/10|20:21:30|CSD(CS) |1  |SYSINFO |Synchronization by File Load to CS1 I/O has started                           
03569|2024/08/10|20:21:30|CSD(CS) |1  |SYSINFO |I/O Unit [M1] connected                                                       
